Accession	Protein name	Molecular Weight	pacFA.hit
Q8BRF7	Sec1 family domain-containing protein 1 OS=Mus musculus GN=Scfd1 PE=2 SV=1	72 kDa	2
Q8BTZ5	Ankyrin repeat domain-containing protein 46 OS=Mus musculus GN=Ankrd46 PE=2 SV=1	25 kDa	2
Q8BXV2	BRI3-binding protein OS=Mus musculus GN=Bri3bp PE=2 SV=1	28 kDa	2
Q8C2Q3	RNA-binding protein 14 OS=Mus musculus GN=Rbm14 PE=1 SV=1	69 kDa	2
Q8CD09	Putative uncharacterized protein OS=Mus musculus GN=Lima1 PE=2 SV=1	66 kDa	2
Q8K4Z5	Splicing factor 3A subunit 1 OS=Mus musculus GN=Sf3a1 PE=1 SV=1	89 kDa	2
Q8VBV7	COP9 signalosome complex subunit 8 OS=Mus musculus GN=Cops8 PE=1 SV=1	23 kDa	2
Q8VIJ6	Splicing factor, proline- and glutamine-rich OS=Mus musculus GN=Sfpq PE=1 SV=1	75 kDa	2
Q91WS0	CDGSH iron-sulfur domain-containing protein 1 OS=Mus musculus GN=Cisd1 PE=1 SV=1	12 kDa	2
Q91ZW3	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Mus musculus GN=Smarca5 PE=1 SV=1	122 kDa	2
Q921L3	Transmembrane and coiled-coil domain-containing protein 1 OS=Mus musculus GN=Tmco1 PE=2 SV=1	21 kDa	2
Q99JF8	PC4 and SFRS1-interacting protein OS=Mus musculus GN=Psip1 PE=1 SV=1	60 kDa	2
Q99K51	Plastin-3 OS=Mus musculus GN=Pls3 PE=1 SV=3	71 kDa	2
Q9CPQ3	Mitochondrial import receptor subunit TOM22 homolog OS=Mus musculus GN=Tomm22 PE=2 SV=3	16 kDa	2
Q9CQB5	CDGSH iron-sulfur domain-containing protein 2 OS=Mus musculus GN=Cisd2 PE=1 SV=1	15 kDa	2
Q9CQF3	Cleavage and polyadenylation specificity factor subunit 5 OS=Mus musculus GN=Nudt21 PE=2 SV=1	26 kDa	2
Q9CQZ6	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 OS=Mus musculus GN=Ndufb3 PE=1 SV=1	12 kDa	2
Q9CXU4	MCG11298 OS=Mus musculus GN=Timm23 PE=2 SV=1	22 kDa	2
Q9CZX9	ER membrane protein complex subunit 4 OS=Mus musculus GN=Emc4 PE=2 SV=1	20 kDa	2
Q9D0K2	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Mus musculus GN=Oxct1 PE=1 SV=1	56 kDa	2
Q9D1M7	Peptidyl-prolyl cis-trans isomerase FKBP11 OS=Mus musculus GN=Fkbp11 PE=2 SV=1	22 kDa	2
Q9D6U8	Protein FAM162A OS=Mus musculus GN=Fam162a PE=2 SV=1	18 kDa	2
Q9DBV4	Matrix-remodeling-associated protein 8 OS=Mus musculus GN=Mxra8 PE=2 SV=1	50 kDa	2
Q9ES97	Reticulon-3 OS=Mus musculus GN=Rtn3 PE=1 SV=2	104 kDa	2
Q9JHF5	A3 subunit of vacuolar-adenosine triphosphatase OS=Mus musculus GN=Tcirg1 PE=2 SV=1	93 kDa	2
Q9JKR6	Hypoxia up-regulated protein 1 OS=Mus musculus GN=Hyou1 PE=1 SV=1	111 kDa	2
Q9WVM1	Rac GTPase-activating protein 1 OS=Mus musculus GN=Racgap1 PE=2 SV=1	70 kDa	2
Q9Z110	Delta-1-pyrroline-5-carboxylate synthase OS=Mus musculus GN=Aldh18a1 PE=2 SV=2	87 kDa	2
Q9Z1X4	Interleukin enhancer-binding factor 3 OS=Mus musculus GN=Ilf3 PE=1 SV=2	96 kDa	2
Q9Z277	Tyrosine-protein kinase BAZ1B OS=Mus musculus GN=Baz1b PE=1 SV=2	171 kDa	2
A2AI68	Protein kinase, cAMP dependent regulatory, type I, alpha OS=Mus musculus GN=Prkar1a PE=4 SV=1	43 kDa	2
A2AL50	Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Mus musculus GN=Agps PE=4 SV=1	74 kDa	2
D3YVN7	Elongation factor Tu OS=Mus musculus GN=Gm9755 PE=3 SV=1	50 kDa	2
D3Z351	MCG1219 OS=Mus musculus GN=Hmg1l1 PE=4 SV=2	25 kDa	2
E9PVC6	Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus GN=Eif4g1 PE=4 SV=1	171 kDa	2
F8WJK8	Hsc70-interacting protein OS=Mus musculus GN=St13 PE=4 SV=1	41 kDa	2
G5E829	MCG13663, isoform CRA_a OS=Mus musculus GN=Atp2b1 PE=3 SV=1	135 kDa	2
O35286	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Mus musculus GN=Dhx15 PE=2 SV=2	91 kDa	2
O35841	Apoptosis inhibitor 5 OS=Mus musculus GN=Api5 PE=2 SV=2	57 kDa	2
P08003	Protein disulfide-isomerase A4 OS=Mus musculus GN=Pdia4 PE=1 SV=3	72 kDa	2
P10404	MLV-related proviral Env polyprotein OS=Mus musculus PE=2 SV=3	70 kDa	2
P25206	DNA replication licensing factor MCM3 OS=Mus musculus GN=Mcm3 PE=1 SV=2	92 kDa	2
P57759	Endoplasmic reticulum resident protein 29 OS=Mus musculus GN=Erp29 PE=1 SV=2	29 kDa	2
P62855	40S ribosomal protein S26 OS=Mus musculus GN=Rps26 PE=2 SV=3	13 kDa	2
P97855	Ras GTPase-activating protein-binding protein 1 OS=Mus musculus GN=G3bp1 PE=1 SV=1	52 kDa	2
Q14C51	Pentatricopeptide repeat-containing protein 3, mitochondrial OS=Mus musculus GN=Ptcd3 PE=2 SV=2	78 kDa	2
Q20BD0	Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=2 SV=1	36 kDa	2
Q3U7Z6	MCG113582 OS=Mus musculus GN=Pgam1 PE=2 SV=1	29 kDa	2
Q542D9	Transferrin receptor, isoform CRA_a OS=Mus musculus GN=Tfrc PE=2 SV=1	86 kDa	2
Q564E8	Ribosomal protein L4 OS=Mus musculus GN=Rpl4 PE=2 SV=1	47 kDa	2
Q5EBP9	Tripartite motif-containing 28 OS=Mus musculus GN=Trim28 PE=2 SV=1	89 kDa	2
Q60598	Src substrate cortactin OS=Mus musculus GN=Cttn PE=1 SV=2	61 kDa	2
Q6P1H6	Ankyrin repeat and LEM domain-containing protein 2 OS=Mus musculus GN=Ankle2 PE=2 SV=2	106 kDa	2
Q6ZWZ6	40S ribosomal protein S12 OS=Mus musculus GN=Rps12 PE=2 SV=1	15 kDa	2
Q80UU9	Membrane-associated progesterone receptor component 2 OS=Mus musculus GN=Pgrmc2 PE=1 SV=2	23 kDa	2
Q8BJ71	Nuclear pore complex protein Nup93 OS=Mus musculus GN=Nup93 PE=2 SV=1	93 kDa	2
Q8BLN5	Lanosterol synthase OS=Mus musculus GN=Lss PE=2 SV=2	83 kDa	2
Q8BXZ1	Protein disulfide-isomerase TMX3 OS=Mus musculus GN=Tmx3 PE=1 SV=2	52 kDa	2
Q8K411	Presequence protease, mitochondrial OS=Mus musculus GN=Pitrm1 PE=2 SV=1	117 kDa	2
Q8K4Q8	Collectin-12 OS=Mus musculus GN=Colec12 PE=1 SV=1	81 kDa	2
A2A895	Vesicle-associated membrane protein 3 OS=Mus musculus GN=Vamp3 PE=4 SV=1	11 kDa	2
D3YVW2	Golgi integral membrane protein 4 OS=Mus musculus GN=Golim4 PE=4 SV=1	80 kDa	2
Q8C2Q8	ATP synthase gamma chain OS=Mus musculus GN=Atp5c1 PE=2 SV=1	30 kDa	2
A2AAN2	Signal recognition particle 68 OS=Mus musculus GN=Srp68 PE=4 SV=1	66 kDa	3
A2AFW7	MCG13498, isoform CRA_d OS=Mus musculus GN=Mtch2 PE=3 SV=1	33 kDa	3
A2AL84	Aspartate-beta-hydroxylase OS=Mus musculus GN=Asph PE=4 SV=1	83 kDa	3
A2ANA4	Sorting nexin 5 OS=Mus musculus GN=Snx5 PE=4 SV=1	47 kDa	3
A2AQY3	YME1-like 1 (S. cerevisiae) OS=Mus musculus GN=Yme1l1 PE=3 SV=1	80 kDa	3
A5CVE4	MCG1293 OS=Mus musculus GN=Stim2 PE=2 SV=1	84 kDa	3
B1ARK2	Protease (Prosome, macropain) 26S subunit, ATPase 5 OS=Mus musculus GN=Psmc5 PE=3 SV=1	46 kDa	3
B1AS89	Peroxisomal biogenesis factor 14 OS=Mus musculus GN=Pex14 PE=4 SV=1	41 kDa	3
B2RRM5	Transmembrane emp24 domain containing 1 OS=Mus musculus GN=Tmed1 PE=2 SV=1	25 kDa	3
D3YU17	Nicalin OS=Mus musculus GN=Ncln PE=4 SV=1	63 kDa	3
D3YU56	Inner nuclear membrane protein Man1 OS=Mus musculus GN=Lemd3 PE=4 SV=1	103 kDa	3
D3Z0I5	Tripartite motif-containing protein 59 (Fragment) OS=Mus musculus GN=Trim59 PE=4 SV=1	45 kDa	3
D3Z3S1	Prolactin regulatory element binding, isoform CRA_b OS=Mus musculus GN=Preb PE=4 SV=1	38 kDa	3
E9Q1I0	Uncharacterized protein OS=Mus musculus GN=Gm3662 PE=4 SV=1	52 kDa	3
E9Q5B5	Hexokinase-2 OS=Mus musculus GN=Hk2 PE=3 SV=1	99 kDa	3
F6SPK0	Ubiquitin-conjugating enzyme E2 J1 (Fragment) OS=Mus musculus GN=Ube2j1 PE=4 SV=1	29 kDa	3
F6ZSC6	Calcium-binding mitochondrial carrier protein Aralar2 OS=Mus musculus GN=Slc25a13 PE=3 SV=1	74 kDa	3
F7B7C1	Torsin-1A OS=Mus musculus GN=Tor1a PE=4 SV=1	37 kDa	3
F8WIQ6	Torsin-1B OS=Mus musculus GN=Tor1b PE=4 SV=1	38 kDa	3
G3X8R0	Receptor accessory protein 5, isoform CRA_a OS=Mus musculus GN=Reep5 PE=4 SV=1	21 kDa	3
H3BK48	Cutaneous T-cell lymphoma-associated antigen 5 homolog OS=Mus musculus GN=Ctage5 PE=4 SV=1	88 kDa	3
I1E4X1	Protein Stx5a OS=Mus musculus GN=Stx5a PE=4 SV=1	49 kDa	3
O55022	Membrane-associated progesterone receptor component 1 OS=Mus musculus GN=Pgrmc1 PE=1 SV=4	22 kDa	3
P09055	Integrin beta-1 OS=Mus musculus GN=Itgb1 PE=1 SV=1	88 kDa	3
P14901	Heme oxygenase 1 OS=Mus musculus GN=Hmox1 PE=1 SV=1	33 kDa	3
P35821	Tyrosine-protein phosphatase non-receptor type 1 OS=Mus musculus GN=Ptpn1 PE=1 SV=2	50 kDa	3
P43883	Perilipin-2 OS=Mus musculus GN=Plin2 PE=2 SV=2	47 kDa	3
P46638	Ras-related protein Rab-11B OS=Mus musculus GN=Rab11b PE=1 SV=3	24 kDa	3
P52825	Carnitine O-palmitoyltransferase 2, mitochondrial OS=Mus musculus GN=Cpt2 PE=1 SV=2	74 kDa	3
P53798	Squalene synthase OS=Mus musculus GN=Fdft1 PE=2 SV=2	48 kDa	3
P58281	Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial OS=Mus musculus GN=Opa1	116 kDa	3
P59017	Bcl-2-like protein 13 OS=Mus musculus GN=Bcl2l13 PE=1 SV=2	47 kDa	3
Q0P5W2	MCG129075 OS=Mus musculus GN=Tmx4 PE=2 SV=1	37 kDa	3
Q1XID4	Renin/prorenin receptor OS=Mus musculus GN=Atp6ap2 PE=2 SV=2	39 kDa	3
Q31125	Zinc transporter SLC39A7 OS=Mus musculus GN=Slc39a7 PE=1 SV=2	51 kDa	3
Q3TBT3	Transmembrane protein 173 OS=Mus musculus GN=Tmem173 PE=1 SV=2	43 kDa	3
Q3TDN2	FAS-associated factor 2 OS=Mus musculus GN=Faf2 PE=2 SV=2	52 kDa	3
Q3U9G9	Lamin-B receptor OS=Mus musculus GN=Lbr PE=1 SV=2	71 kDa	3
Q3UDQ7	AFG3-like protein 2 OS=Mus musculus GN=Afg3l2 PE=2 SV=1	89 kDa	3
Q4FK22	1200007D18Rik protein OS=Mus musculus GN=Ergic1 PE=2 SV=1	33 kDa	3
Q5SXR0	Peptidyl-tRNA hydrolase 2 OS=Mus musculus GN=Ptrh2 PE=2 SV=1	20 kDa	3
Q64133	Amine oxidase [flavin-containing] A OS=Mus musculus GN=Maoa PE=1 SV=3	60 kDa	3
Q64521	Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Mus musculus GN=Gpd2 PE=1 SV=2	81 kDa	3
Q6GTY4	Sel-1 suppressor of lin-12-like (C. elegans) OS=Mus musculus GN=Sel1l PE=2 SV=1	82 kDa	3
Q6P6J9	Thioredoxin domain-containing protein 15 OS=Mus musculus GN=Txndc15 PE=1 SV=1	38 kDa	3
Q8BH59	Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus GN=Slc25a12 PE=1 SV=1	75 kDa	3
Q8BM72	Heat shock 70 kDa protein 13 OS=Mus musculus GN=Hspa13 PE=2 SV=1	52 kDa	3
Q8BMD8	Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Mus musculus GN=Slc25a24 PE=2 SV=1	53 kDa	3
Q8BMG8	Mitochondrial folate transporter/carrier OS=Mus musculus GN=Slc25a32 PE=2 SV=1	35 kDa	3
Q8BU14	Translocation protein SEC62 OS=Mus musculus GN=Sec62 PE=1 SV=1	46 kDa	3
Q8VBZ3	Cleft lip and palate transmembrane protein 1 homolog OS=Mus musculus GN=Clptm1 PE=1 SV=1	75 kDa	3
Q8VCX5	Calcium uptake protein 1, mitochondrial OS=Mus musculus GN=Micu1 PE=2 SV=1	54 kDa	3
Q8VDS8	Syntaxin-18 OS=Mus musculus GN=Stx18 PE=2 SV=2	38 kDa	3
Q924Z4	Ceramide synthase 2 OS=Mus musculus GN=Cers2 PE=1 SV=1	45 kDa	3
Q99LR1	Monoacylglycerol lipase ABHD12 OS=Mus musculus GN=Abhd12 PE=1 SV=2	45 kDa	3
Q9CR16	Peptidyl-prolyl cis-trans isomerase D OS=Mus musculus GN=Ppid PE=1 SV=3	41 kDa	3
Q9CX86	Heterogeneous nuclear ribonucleoprotein A0 OS=Mus musculus GN=Hnrnpa0 PE=1 SV=1	31 kDa	3
Q9CY27	Trans-2,3-enoyl-CoA reductase OS=Mus musculus GN=Tecr PE=1 SV=1	36 kDa	3
Q9CZ13	Cytochrome b-c1 complex subunit 1, mitochondrial OS=Mus musculus GN=Uqcrc1 PE=1 SV=2	53 kDa	3
Q9D0L7	Armadillo repeat-containing protein 10 OS=Mus musculus GN=Armc10 PE=1 SV=1	33 kDa	3
Q9D281	Protein Noxp20 OS=Mus musculus GN=Fam114a1 PE=2 SV=1	61 kDa	3
Q9D666	SUN domain-containing protein 1 OS=Mus musculus GN=Sun1 PE=1 SV=2	102 kDa	3
Q9DBZ1	Isoform 2 of Inhibitor of nuclear factor kappa-B kinase-interacting protein OS=Mus musculus GN=Ikbip	38 kDa	3
Q9WTK3	Glycosylphosphatidylinositol anchor attachment 1 protein OS=Mus musculus GN=Gpaa1 PE=1 SV=3	68 kDa	3
Q9Z1N5	Spliceosome RNA helicase Ddx39b OS=Mus musculus GN=Ddx39b PE=1 SV=1	49 kDa	3
A2AD89	ATPase family, AAA domain containing 3A OS=Mus musculus GN=Atad3a PE=4 SV=1	67 kDa	3
E9QAY3	Mitochondrial inner membrane protein OS=Mus musculus GN=Immt PE=4 SV=1	82 kDa	3
O08579	Emerin OS=Mus musculus GN=Emd PE=1 SV=1	29 kDa	3
O70503	Estradiol 17-beta-dehydrogenase 12 OS=Mus musculus GN=Hsd17b12 PE=2 SV=1	35 kDa	3
Q3TX38	Putative uncharacterized protein OS=Mus musculus GN=Vdac3 PE=2 SV=1	31 kDa	3
Q6PA06	Atlastin-2 OS=Mus musculus GN=Atl2 PE=1 SV=1	66 kDa	3
Q8VHE0	Translocation protein SEC63 homolog OS=Mus musculus GN=Sec63 PE=1 SV=4	88 kDa	3
Q9D1D4	Transmembrane emp24 domain-containing protein 10 OS=Mus musculus GN=Tmed10 PE=2 SV=1	25 kDa	3
Q9DCN2	NADH-cytochrome b5 reductase 3 OS=Mus musculus GN=Cyb5r3 PE=1 SV=3	34 kDa	3
Q9Z2I0	LETM1 and EF-hand domain-containing protein 1, mitochondrial OS=Mus musculus GN=Letm1 PE=2 SV=1	83 kDa	3
B1ATI0	Aldehyde dehydrogenase OS=Mus musculus GN=Aldh3a2 PE=3 SV=1	59 kDa	3
A2A432	Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1	111 kDa	0
A2A8L5	Receptor-type tyrosine-protein phosphatase F OS=Mus musculus GN=Ptprf PE=1 SV=1	211 kDa	0
A2AFF6	Cohesin subunit SA-2 OS=Mus musculus GN=Stag2 PE=4 SV=1	146 kDa	0
A2AGT5	Cytoskeleton-associated protein 5 OS=Mus musculus GN=Ckap5 PE=2 SV=1	226 kDa	0
A2AJI4	Thyroid hormone receptor associated protein 3 OS=Mus musculus GN=Thrap3 PE=4 SV=1	108 kDa	0
A2AKI5	Integrin alpha V OS=Mus musculus GN=Itgav PE=3 SV=1	112 kDa	0
A2ALW3	Leukotriene B4 12-hydroxydehydrogenase OS=Mus musculus GN=Ptgr1 PE=4 SV=1	36 kDa	0
A2AMV5	Capping protein (Actin filament) muscle Z-line, beta OS=Mus musculus GN=Capzb PE=4 SV=1	31 kDa	0
A2APD4	Small nuclear ribonucleoprotein-associated protein OS=Mus musculus GN=Snrpb PE=3 SV=1	24 kDa	0
A2AQE3	COP9 (Constitutive photomorphogenic) homolog, subunit 2 (Arabidopsis thaliana) OS=Mus musculus GN=Cops2 PE=4 SV=1	52 kDa	0
A2AQL6	Proteasome subunit beta type OS=Mus musculus GN=Psmb7 PE=3 SV=1	30 kDa	0
A2ASC7	RAE1 RNA export 1 homolog (S. pombe) OS=Mus musculus GN=Rae1 PE=4 SV=1	41 kDa	0
A2AUF6	Heat shock 70kD protein 5 (Glucose-regulated protein) OS=Mus musculus GN=Hspa5 PE=3 SV=1	72 kDa	0
A2AV97	Thioredoxin OS=Mus musculus GN=Txn1 PE=3 SV=1	12 kDa	0
A2BDV8	Heterogeneous nuclear ribonucleoprotein H2 OS=Mus musculus GN=Hnrnph2 PE=4 SV=1	49 kDa	0
A2CER1	Regulator of chromosome condensation 1 OS=Mus musculus GN=Rcc1 PE=4 SV=1	45 kDa	0
A2CG14	V-ral simian leukemia viral oncogene homolog A (Ras related) OS=Mus musculus GN=Rala PE=4 SV=1	24 kDa	0
A2RS22	Coronin, actin binding protein 1B OS=Mus musculus GN=Coro1b PE=2 SV=1	54 kDa	0
A2RSB1	Nucleosome assembly protein 1-like 4 OS=Mus musculus GN=Nap1l4 PE=2 SV=1	43 kDa	0
B1ARK1	FtsJ homolog 3 (E. coli) OS=Mus musculus GN=Ftsj3 PE=3 SV=1	96 kDa	0
B1AT92	Growth factor receptor bound protein 2 OS=Mus musculus GN=Grb2 PE=4 SV=1	24 kDa	0
B1ATZ0	HGF-regulated tyrosine kinase substrate OS=Mus musculus GN=Hgs PE=4 SV=1	86 kDa	0
B1AU75	Nuclear autoantigenic sperm protein OS=Mus musculus GN=Nasp PE=4 SV=1	84 kDa	0
B1AWB9	Collagen, type V, alpha 1 OS=Mus musculus GN=Col5a1 PE=2 SV=1	184 kDa	0
B1AXP1	Eukaryotic translation initiation factor 1A, Y-linked OS=Mus musculus GN=Eif1ax PE=3 SV=1	16 kDa	0
B1AZI6	THO complex subunit 2 OS=Mus musculus GN=Thoc2 PE=3 SV=1	183 kDa	0
B1B1B4	Electron transferring flavoprotein, alpha polypeptide OS=Mus musculus GN=Etfa PE=4 SV=1	35 kDa	0
B2RQV1	RIKEN cDNA C330023M02 gene OS=Mus musculus GN=Naa25 PE=2 SV=1	112 kDa	0
B2RRF0	Ptprk protein OS=Mus musculus GN=Ptprk PE=2 SV=1	163 kDa	0
B2RUP8	Ceroid-lipofuscinosis, neuronal 5 OS=Mus musculus GN=Cln5 PE=2 SV=1	39 kDa	0
B7ZCL7	Dyskeratosis congenita 1, dyskerin homolog (Human) (Fragment) OS=Mus musculus GN=Dkc1 PE=4 SV=1	30 kDa	0
B8JJG1	Novel protein (2810405J04Rik) OS=Mus musculus GN=Fam98a PE=4 SV=1	55 kDa	0
D3YTR4	Methyl-CpG-binding domain protein 3 OS=Mus musculus GN=Mbd3 PE=4 SV=1	31 kDa	0
D3YVI6	COP9 signalosome complex subunit 7a (Fragment) OS=Mus musculus GN=Cops7a PE=4 SV=1	20 kDa	0
D3YW09	Splicing factor 3A subunit 2 OS=Mus musculus GN=Sf3a2 PE=4 SV=1	22 kDa	0
D3YW98	Vacuolar protein sorting-associated protein 29 OS=Mus musculus GN=Vps29 PE=4 SV=1	10 kDa	0
D3YYQ0	Protein Gm5451 OS=Mus musculus GN=Gm5451 PE=4 SV=1	22 kDa	0
D3YYT1	Putative oxidoreductase GLYR1 OS=Mus musculus GN=Glyr1 PE=4 SV=1	60 kDa	0
D3YZ09	H/ACA ribonucleoprotein complex subunit 1 (Fragment) OS=Mus musculus GN=Gar1 PE=4 SV=1	20 kDa	0
D3Z0L4	Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial (Fragment) OS=Mus musculus GN=Chchd3 PE=4 SV=1	22 kDa	0
D3Z174	Protein Kifc5b OS=Mus musculus GN=Kifc5b PE=3 SV=2	55 kDa	0
D3Z195	Protein Wiz OS=Mus musculus GN=Wiz PE=4 SV=1	106 kDa	0
D3Z2T2	Proteasome subunit beta type OS=Mus musculus GN=Psmb5 PE=3 SV=1	22 kDa	0
D3Z6I3	Lipoyl synthase, mitochondrial OS=Mus musculus GN=Lias PE=3 SV=1	32 kDa	0
D3Z795	Proteasome assembly chaperone 1 OS=Mus musculus GN=Psmg1 PE=4 SV=1	31 kDa	0
D3Z7M5	Nucleolar protein 16 OS=Mus musculus GN=Nop16 PE=4 SV=1	22 kDa	0
E9PV87	Uncharacterized protein OS=Mus musculus GN=2700049A03Rik PE=4 SV=1	167 kDa	0
E9PVA8	Protein Gcn1l1 OS=Mus musculus GN=Gcn1l1 PE=4 SV=1	293 kDa	0
E9PVD2	Protein Itih4 OS=Mus musculus GN=Itih4 PE=4 SV=1	105 kDa	0
E9PVZ8	Protein Golgb1 OS=Mus musculus GN=Golgb1 PE=4 SV=1	370 kDa	0
E9PW15	Polycomb protein Suz12 OS=Mus musculus GN=Suz12 PE=4 SV=1	80 kDa	0
E9PWD9	DNA-directed RNA polymerase OS=Mus musculus GN=Polrmt PE=3 SV=1	128 kDa	0
E9PWF1	Fibroblast growth factor receptor OS=Mus musculus GN=Fgfr1 PE=3 SV=1	82 kDa	0
E9PX78	Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus GN=Eif3b PE=3 SV=1	109 kDa	0
E9PYI8	Ubiquitin carboxyl-terminal hydrolase OS=Mus musculus GN=Usp14 PE=3 SV=1	52 kDa	0
E9PYL7	Protein Fat1 OS=Mus musculus GN=Fat1 PE=4 SV=1	506 kDa	0
E9PZF0	Nucleoside diphosphate kinase OS=Mus musculus GN=Gm20390 PE=3 SV=1	30 kDa	0
E9Q066	La-related protein 4 OS=Mus musculus GN=Larp4 PE=4 SV=1	80 kDa	0
E9Q0S6	Protein Tns1 OS=Mus musculus GN=Tns1 PE=4 SV=1	201 kDa	0
E9Q1H6	Nuclear factor NF-kappa-B p100 subunit OS=Mus musculus GN=Nfkb2 PE=4 SV=1	84 kDa	0
E9Q272	Protein Hook homolog 3 OS=Mus musculus GN=Hook3 PE=4 SV=1	83 kDa	0
E9Q453	Tropomyosin alpha-1 chain OS=Mus musculus GN=Tpm1 PE=3 SV=1	28 kDa	0
E9Q5G3	Protein Kif23 OS=Mus musculus GN=Kif23 PE=3 SV=1	109 kDa	0
E9Q6R7	Protein Utrn OS=Mus musculus GN=Utrn PE=4 SV=1	393 kDa	0
E9Q7N9	Protein Dnahc11 OS=Mus musculus GN=Dnahc11 PE=4 SV=1	516 kDa	0
E9Q7U2	Calcium-binding and coiled-coil domain-containing protein 1 OS=Mus musculus GN=Calcoco1 PE=4 SV=1	71 kDa	0
E9Q8P7	Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Mus musculus GN=Pdxdc1 PE=3 SV=1	88 kDa	0
E9Q9V9	E9Q9V9-R	?	0
E9QAQ5	Glycogen synthase kinase-3 beta OS=Mus musculus GN=Gsk3b PE=4 SV=1	48 kDa	0
E9QK04	Neogenin OS=Mus musculus GN=Neo1 PE=4 SV=1	163 kDa	0
E9QKK8	E9QKK8-R	?	0
E9QN12	Platelet-derived growth factor receptor beta OS=Mus musculus GN=Pdgfrb PE=3 SV=1	123 kDa	0
E9QN70	Laminin subunit beta-1 OS=Mus musculus GN=Lamb1 PE=4 SV=1	202 kDa	0
E9QN88	Protein Epb4.1l3 OS=Mus musculus GN=Epb4.1l3 PE=4 SV=1	96 kDa	0
E9QPT2	Condensin complex subunit 1 OS=Mus musculus GN=Ncapd2 PE=3 SV=1	157 kDa	0
F6QA74	DNA-(apurinic or apyrimidinic site) lyase (Fragment) OS=Mus musculus GN=Apex1 PE=4 SV=1	32 kDa	0
F6SIG2	Collagen alpha-1(III) chain OS=Mus musculus GN=Col3a1 PE=4 SV=1	115 kDa	0
F6SVV1	Uncharacterized protein OS=Mus musculus GN=Gm9493 PE=4 SV=1	22 kDa	0
F6TLX3	Importin-9 (Fragment) OS=Mus musculus GN=Ipo9 PE=4 SV=1	19 kDa	0
F6TMZ3	Epididymis-specific alpha-mannosidase (Fragment) OS=Mus musculus GN=Man2b2 PE=4 SV=1	55 kDa	0
F6UB20	Protein Mosc2 (Fragment) OS=Mus musculus GN=Mosc2 PE=4 SV=1	31 kDa	0
F6YW06	Formyltetrahydrofolate synthetase OS=Mus musculus GN=Mthfd1 PE=3 SV=1	101 kDa	0
F6ZJB0	Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=4 SV=1	191 kDa	0
F6ZWD0	Coatomer subunit alpha OS=Mus musculus GN=Copa PE=4 SV=1	127 kDa	0
F7CAE1	Protein Hba-a2 OS=Mus musculus GN=Hba-a2 PE=3 SV=1	15 kDa	0
F7D1I5	Glycophorin-C OS=Mus musculus GN=Gypc PE=4 SV=2	8 kDa	0
F8VQJ3	Laminin subunit gamma-1 OS=Mus musculus GN=Lamc1 PE=4 SV=1	177 kDa	0
F8WGC2	Annexin OS=Mus musculus GN=Anxa7 PE=3 SV=1	52 kDa	0
F8WH45	Leucine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Lars PE=3 SV=1	138 kDa	0
F8WHW3	Transmembrane protein 55B OS=Mus musculus GN=Tmem55b PE=4 SV=1	29 kDa	0
F8WI14	Extracellular matrix protein 1 OS=Mus musculus GN=Ecm1 PE=4 SV=1	63 kDa	0
F8WIV2	Protein Serpinb6a OS=Mus musculus GN=Serpinb6a PE=3 SV=1	45 kDa	0
G3UW85	Enhancer of rudimentary homolog OS=Mus musculus GN=Erh PE=4 SV=1	14 kDa	0
G3XA18	N-acylethanolamine-hydrolyzing acid amidase OS=Mus musculus GN=Naaa PE=4 SV=1	40 kDa	0
G3XA41	MCG50219 OS=Mus musculus GN=Gm6055 PE=3 SV=1	15 kDa	0
G5E8B3	Fibulin 2, isoform CRA_c OS=Mus musculus GN=Fbln2 PE=4 SV=1	132 kDa	0
H3BIY9	AP-2 complex subunit beta OS=Mus musculus GN=Ap2b1 PE=4 SV=1	105 kDa	0
H3BJL6	Protein Gm2904 OS=Mus musculus GN=Esd PE=4 SV=1	29 kDa	0
H7BX95	Serine/arginine-rich-splicing factor 1 OS=Mus musculus GN=Srsf1 PE=4 SV=1	28 kDa	0
O08832	Polypeptide N-acetylgalactosaminyltransferase 4 OS=Mus musculus GN=Galnt4 PE=2 SV=1	67 kDa	0
O08917	Flotillin-1 OS=Mus musculus GN=Flot1 PE=1 SV=1	48 kDa	0
